城市,经度,纬度
济南,117.12639941261048,36.65655420178723
青岛,120.38945519114627,36.072227496663224
淄博,118.06145253489896,36.81908568332188
枣庄,117.33054194483897,34.815994048435115
东营,118.68138493513693,37.43964182632334
烟台,121.45441541730195,37.470038383730525
潍坊,119.16837791142822,36.71265155126753
济宁,116.59361234853988,35.420177394529645
泰安,117.0944948347959,36.2058580448846
威海,122.12754097831325,37.5164305480148
日照,119.45862617085737,35.43829807753727
临沂,118.36353300501388,35.11067124236514
德州,116.36555674397471,37.441308454576266
聊城,115.99158784830443,36.46275818769411
滨州,117.9774040171467,37.3881961960769
菏泽,115.48754503343376,35.23940742476551
